Answer,Solution,Source,Year,Type,Competition,Difficulty,Img,Problem,AnswerType,modified_problem,review_status
15,,BmMT 2016 Team #4,2016,Counting,BmMT,1.0,,"A council of 111 mathematicians voted on whether to hold their conference in Beijing or Shanghai. The outcome of an initial vote was 70 votes in favor of Beijing, and 41 votes in favor of Shanghai. If the vote were to be held again, what is the minimum number of mathematicians that would have to change their votes in order for Shanghai to win a majority of votes?",aime_ready_integers,N/A,
40,,BmMT 2016 Team #5,2016,Geometry,BmMT,1.0,,"What is the area of the triangle bounded by the line $20 x+16 y=160$, the $x$-axis, and the $y$-axis?",aime_ready_integers,N/A,
40,,BmMT 2016 Team #6,2016,Number Theory,BmMT,1.5,,"Suppose that 3 runners start running from the start line around a circular 800 -meter track and that their speeds are 100,160 , and 200 meters per minute, respectively. How many minutes will they run before all three are next at the start line at the same time?",aime_ready_integers,N/A,
3600π,,BmMT 2016 Team #7,2016,Geometry,BmMT,1.5,,"Brian's lawn is in the shape of a circle, with radius 10 meters. Brian can throw a frisbee up to 50 meters from where he stands. What is the area of the region (in square meters) in which the frisbee can land, if Brian can stand anywhere on his lawn?",pi,"Brian's lawn is in the shape of a circle, with radius 10 meters. Brian can throw a frisbee up to 50 meters from where he stands. Let $n$ be the area, in square meters, of the region in which the frisbee can land, given that Brian can stand anywhere on his lawn. If $n$ can be written as $a\pi$, where $a$ is a positive integer, find $a$.",
1875,,BmMT 2016 Team #8,2016,Counting,BmMT,1.5,,"A seven digit number is called ""bad"" if exactly four of its digits are 0 and the rest are odd. How many seven digit numbers are bad?",large_integers,"A seven-digit number is labeled as ""bad"" if exactly four of its digits are 0 and the rest are odd. Denote by $n$ the total number of seven-digit numbers that are bad. Find the remainder when $n$ is divided by 1000.",
9/50,,BmMT 2016 Team #9,2016,Counting,BmMT,1.5,,Suppose you have a 3 -digit number with only even digits. What is the probability that twice that number also has only even digits?,fractions,"Consider a 3-digit number composed exclusively of even digits. Let $p$ be the probability that doubling this number results in another number composed exclusively of even digits as well. If $p$ can be expressed as $m/n$, where $m$ and $n$ are relatively prime positive integers, find the value of $m + n$.",
2/5,,BmMT 2016 Team #10,2016,Counting,BmMT,2.0,,"You have a flight on Air China from Beijing to New York. The flight will depart any time between 1 p.m. and 6 p.m., uniformly at random. Your friend, Henry, is flying American Airlines, also from Beijing to New York. Henry's flight will depart any time between 3 p.m. and 5 p.m., uniformly at random. What is the probability that Henry's flight departs before your flight?",fractions,"Consider a scenario where you are scheduled to fly on Air China from Beijing to New York, with a departure time that is uniformly distributed between 1 p.m. and 6 p.m. Your friend Henry is also flying from Beijing to New York on American Airlines, with his departure time uniformly distributed between 3 p.m. and 5 p.m. Let $p$ be the probability that Henry's flight departs before your flight. If $p$ can be expressed as $m/n$, where $m$ and $n$ are relatively prime positive integers, find the value of $m + n$.",
3-2√2,,BmMT 2016 Team #12,2016,Geometry,BmMT,2.0,,Consider a circle of radius 1 drawn tangent to the positive $x$ and $y$ axes. Now consider another smaller circle tangent to that circle and also tangent to the positive $x$ and $y$ axes. Find the radius of the smaller circle.,roots,"Consider a circle of radius 1 drawn tangent to the positive $x$ and $y$ axes. Now consider another smaller circle tangent to that circle and also tangent to the positive $x$ and $y$ axes. Let $x$ be the radius of the smaller circle. If $x$ can be written in the form $m\sqrt{n} - c$, where $m$, $n$, and $c$ are positive integers and $n$ is not divisible by the square of a prime, find $m + n + c$.",
5,,BmMT 2016 Team #13,2016,Algebra,BmMT,2.0,,The following expression is an integer. Find this integer: $$\frac{\sqrt{20+16 \frac{\sqrt{20+16 \frac{\sqrt{20+16 \ldots}}{2}}}{2}}}{2} .$$,aime_ready_integers,N/A,
23,,BmMT 2016 Team #14,2016,Number Theory,BmMT,2.5,,"Let $2016=a_{1} \times a_{2} \times \cdots \times a_{n}$ for some positive integers $a_{1}, a_{2}, \ldots, a_{n}$. Compute the smallest possible value of $a_{1}+a_{2}+\cdots+a_{n}$.",aime_ready_integers,N/A,
